provincia,nombre1,nombre2,poblacion,superficie,coords,altitud,link,id
Álava,Zalduondo,,185,"1187,86","(42.88580971,-2.34650825)",612,https://www.aemet.es/es/eltiempo/prediccion/municipios/zalduondo-id01061,01061
Álava,Zambrana,,416,"3957,05","(42.66112968,-2.87806502)",458,https://www.aemet.es/es/eltiempo/prediccion/municipios/zambrana-id01062,01062
Álava,Zuia,,2300,"12248,6671","(42.95597763,-2.81862854)",617,https://www.aemet.es/es/eltiempo/prediccion/municipios/zuia-murgia-id01063,01063
Álava,Iruña Oka,Iruña de Oca,3488,"5325,0072","(42.81819126,-2.8147543)",502,https://www.aemet.es/es/eltiempo/prediccion/municipios/iruna-oka-iruna-de-oca-nanclares-de-la-oca-langraiz-oka-id01901,01901
Álava,Lantarón,,877,"6745,49","(42.71657557,-2.96649719)",482,https://www.aemet.es/es/eltiempo/prediccion/municipios/lantaron-comunion-komunioi-id01902,01902
Albacete,Abengibre,,761,"3076,9225","(39.2100078,-1.54384487)",634,https://www.aemet.es/es/eltiempo/prediccion/municipios/abengibre-id02001,02001
Albacete,Alatoz,,506,"6385,5135","(39.09494843,-1.36097604)",858,https://www.aemet.es/es/eltiempo/prediccion/municipios/alatoz-id02002,02002
Albacete,Albacete,,174336,"112698,96","(38.99588053,-1.85574745)",681,https://www.aemet.es/es/eltiempo/prediccion/municipios/albacete-id02003,02003
Albacete,Albatana,,679,"3049,56","(38.5708754,-1.52275248)",582,https://www.aemet.es/es/eltiempo/prediccion/municipios/albatana-id02004,02004
Albacete,Alborea,,664,"7186,76","(39.27835442,-1.39670449)",706,https://www.aemet.es/es/eltiempo/prediccion/municipios/alborea-id02005,02005
Albacete,Alcadozo,,647,"9958,7","(38.6489758,-1.9802275)",925,https://www.aemet.es/es/eltiempo/prediccion/municipios/alcadozo-id02006,02006
Albacete,Alcalá del Júcar,,1194,"14682,4446","(39.1932018,-1.42932697)",547,https://www.aemet.es/es/eltiempo/prediccion/municipios/alcala-del-jucar-id02007,02007
Albacete,Alcaraz,,1324,"37053,3125","(38.66425104,-2.49034957)",953,https://www.aemet.es/es/eltiempo/prediccion/municipios/alcaraz-id02008,02008
Albacete,Almansa,,24511,"53181,92","(38.86968811,-1.09414681)",687,https://www.aemet.es/es/eltiempo/prediccion/municipios/almansa-id02009,02009
Albacete,Alpera,,2261,"17847,2745","(38.95969094,-1.23080245)",852,https://www.aemet.es/es/eltiempo/prediccion/municipios/alpera-id02010,02010
Albacete,Ayna,,591,"14658,96","(38.55217746,-2.07053831)",696,https://www.aemet.es/es/eltiempo/prediccion/municipios/ayna-id02011,02011
Albacete,Balazote,,2327,"6515,3733","(38.88396156,-2.15096732)",771,https://www.aemet.es/es/eltiempo/prediccion/municipios/balazote-id02012,02012
Albacete,Balsa de Ves,,131,"7648,9","(39.26461253,-1.19650012)",751,https://www.aemet.es/es/eltiempo/prediccion/municipios/balsa-de-ves-id02013,02013
Albacete,El Ballestero,,396,"13869,3693","(38.84252196,-2.45508633)",1027,https://www.aemet.es/es/eltiempo/prediccion/municipios/ballestero-el-id02014,02014
Albacete,Barrax,,1799,"18983,33","(39.0456106,-2.20045637)",733,https://www.aemet.es/es/eltiempo/prediccion/municipios/barrax-id02015,02015
Albacete,Bienservida,,579,"9073,437","(38.51602097,-2.61184243)",898,https://www.aemet.es/es/eltiempo/prediccion/municipios/bienservida-id02016,02016
Albacete,Bogarra,,807,"16601,4619","(38.58025427,-2.21253636)",844,https://www.aemet.es/es/eltiempo/prediccion/municipios/bogarra-id02017,02017
Albacete,Bonete,,1029,"12505,526","(38.86950589,-1.34830324)",886,https://www.aemet.es/es/eltiempo/prediccion/municipios/bonete-id02018,02018
Albacete,El Bonillo,,2723,50266,"(38.95012362,-2.54023691)",1062,https://www.aemet.es/es/eltiempo/prediccion/municipios/bonillo-el-id02019,02019
Albacete,Carcelén,,495,"7536,3731","(39.10231176,-1.30876708)",911,https://www.aemet.es/es/eltiempo/prediccion/municipios/carcelen-id02020,02020
Albacete,Casas de Juan Núñez,,1326,"8898,2779","(39.10160749,-1.55799035)",704,https://www.aemet.es/es/eltiempo/prediccion/municipios/casas-de-juan-nunez-id02021,02021
Albacete,Casas de Lázaro,,348,"11231,6773","(38.7705758,-2.23922378)",942,https://www.aemet.es/es/eltiempo/prediccion/municipios/casas-de-lazaro-id02022,02022
Albacete,Casas de Ves,,563,"12503,83","(39.25946122,-1.33454992)",707,https://www.aemet.es/es/eltiempo/prediccion/municipios/casas-de-ves-id02023,02023
Albacete,Casas-Ibáñez,,4544,"10325,14","(39.28701686,-1.47129143)",708,https://www.aemet.es/es/eltiempo/prediccion/municipios/casas-ibanez-id02024,02024
Albacete,Caudete,,10005,"14163,49","(38.70573009,-0.9886912)",554,https://www.aemet.es/es/eltiempo/prediccion/municipios/caudete-id02025,02025
Albacete,Cenizate,,1194,"6326,0153","(39.30332101,-1.66113349)",706,https://www.aemet.es/es/eltiempo/prediccion/municipios/cenizate-id02026,02026
Albacete,Corral-Rubio,,311,"9475,5686","(38.83500072,-1.4608525)",870,https://www.aemet.es/es/eltiempo/prediccion/municipios/corral-rubio-id02027,02027
Albacete,Cotillas,,118,"1446,9288","(38.43135915,-2.50574545)",947,https://www.aemet.es/es/eltiempo/prediccion/municipios/cotillas-id02028,02028
Albacete,Chinchilla de Monte-Aragón,,4205,"67927,33","(38.9210968,-1.72602643)",907,https://www.aemet.es/es/eltiempo/prediccion/municipios/chinchilla-de-monte-aragon-id02029,02029
Albacete,Elche de la Sierra,,3520,"23949,4125","(38.44790893,-2.04781376)",630,https://www.aemet.es/es/eltiempo/prediccion/municipios/elche-de-la-sierra-id02030,02030
Albacete,Férez,,629,"12614,1544","(38.35567013,-2.00953934)",682,https://www.aemet.es/es/eltiempo/prediccion/municipios/ferez-id02031,02031
Albacete,Fuensanta,,291,"2395,6454","(39.24466001,-2.06725219)",693,https://www.aemet.es/es/eltiempo/prediccion/municipios/fuensanta-id02032,02032
Albacete,Fuente-Álamo,,2474,"13337,12","(38.69314229,-1.43170411)",820,https://www.aemet.es/es/eltiempo/prediccion/municipios/fuente-alamo-id02033,02033
Albacete,Fuentealbilla,,1831,"10829,379","(39.26773579,-1.54879364)",670,https://www.aemet.es/es/eltiempo/prediccion/municipios/fuentealbilla-id02034,02034
Albacete,La Gineta,,2548,"13676,47","(39.11387916,-1.99784496)",691,https://www.aemet.es/es/eltiempo/prediccion/municipios/gineta-la-id02035,02035
Albacete,Golosalvo,,98,"2817,6676","(39.23996013,-1.63626863)",740,https://www.aemet.es/es/eltiempo/prediccion/municipios/golosalvo-id02036,02036
Albacete,Hellín,,30200,"78165,72","(38.51218953,-1.70344921)",570,https://www.aemet.es/es/eltiempo/prediccion/municipios/hellin-id02037,02037
Albacete,La Herrera,,322,"6342,58","(38.9621774,-2.12637236)",714,https://www.aemet.es/es/eltiempo/prediccion/municipios/herrera-la-id02038,02038
Albacete,Higueruela,,1135,"20545,4904","(38.96455026,-1.44535609)",1041,https://www.aemet.es/es/eltiempo/prediccion/municipios/higueruela-id02039,02039
Albacete,Hoya-Gonzalo,,630,"11457,4972","(38.95787352,-1.55687053)",929,https://www.aemet.es/es/eltiempo/prediccion/municipios/hoya-gonzalo-id02040,02040
Albacete,Jorquera,,342,"6797,0751","(39.17457441,-1.52061391)",624,https://www.aemet.es/es/eltiempo/prediccion/municipios/jorquera-id02041,02041
Albacete,Letur,,892,"26440,16","(38.36632081,-2.10096881)",735,https://www.aemet.es/es/eltiempo/prediccion/municipios/letur-id02042,02042
Albacete,Lezuza,,1332,"36090,3503","(38.94878996,-2.35387427)",913,https://www.aemet.es/es/eltiempo/prediccion/municipios/lezuza-id02043,02043
Albacete,Liétor,,1150,"31178,91","(38.54083745,-1.95479319)",641,https://www.aemet.es/es/eltiempo/prediccion/municipios/lietor-id02044,02044
Albacete,Madrigueras,,4634,"7334,55","(39.23680339,-1.7997012)",688,https://www.aemet.es/es/eltiempo/prediccion/municipios/madrigueras-id02045,02045
Albacete,Mahora,,1362,"10814,91","(39.21303088,-1.72481837)",663,https://www.aemet.es/es/eltiempo/prediccion/municipios/mahora-id02046,02046
Albacete,Masegoso,,104,"10387,0257","(38.71877813,-2.31511768)",1108,https://www.aemet.es/es/eltiempo/prediccion/municipios/masegoso-id02047,02047
Albacete,Minaya,,1475,"6983,1234","(39.27118701,-2.31961973)",723,https://www.aemet.es/es/eltiempo/prediccion/municipios/minaya-id02048,02048
Albacete,Molinicos,,813,"14358,8298","(38.46778179,-2.23898151)",851,https://www.aemet.es/es/eltiempo/prediccion/municipios/molinicos-id02049,02049
Albacete,Montalvos,,88,"2477,9315","(39.16721439,-2.02769341)",709,https://www.aemet.es/es/eltiempo/prediccion/municipios/montalvos-id02050,02050
Albacete,Montealegre del Castillo,,2041,"17785,4","(38.78717469,-1.32487672)",810,https://www.aemet.es/es/eltiempo/prediccion/municipios/montealegre-del-castillo-id02051,02051
Albacete,Motilleja,,578,"2382,44","(39.17948885,-1.79025762)",676,https://www.aemet.es/es/eltiempo/prediccion/municipios/motilleja-id02052,02052
Albacete,Munera,,3429,"22942,7623","(39.03954575,-2.4830388)",929,https://www.aemet.es/es/eltiempo/prediccion/municipios/munera-id02053,02053
Albacete,Navas de Jorquera,,521,"4225,9722","(39.28099513,-1.7189485)",708,https://www.aemet.es/es/eltiempo/prediccion/municipios/navas-de-jorquera-id02054,02054
Albacete,Nerpio,,1178,"43487,61","(38.14824043,-2.30224029)",1085,https://www.aemet.es/es/eltiempo/prediccion/municipios/nerpio-id02055,02055
Albacete,Ontur,,1976,"5440,9","(38.61472661,-1.49888166)",653,https://www.aemet.es/es/eltiempo/prediccion/municipios/ontur-id02056,02056
Albacete,Ossa de Montiel,,2262,"24350,2479","(38.96201035,-2.74272664)",898,https://www.aemet.es/es/eltiempo/prediccion/municipios/ossa-de-montiel-id02057,02057
Albacete,Paterna del Madera,,329,"11233,8382","(38.59729435,-2.34555766)",1126,https://www.aemet.es/es/eltiempo/prediccion/municipios/paterna-del-madera-id02058,02058
Albacete,Peñascosa,,333,"18925,8047","(38.67153536,-2.41040499)",1169,https://www.aemet.es/es/eltiempo/prediccion/municipios/penascosa-id02059,02059
Albacete,Peñas de San Pedro,,1394,"15876,06","(38.72688881,-2.00212787)",1010,https://www.aemet.es/es/eltiempo/prediccion/municipios/penas-de-san-pedro-id02060,02060
Albacete,Pétrola,,681,"7460,7346","(38.82629814,-1.55549981)",870,https://www.aemet.es/es/eltiempo/prediccion/municipios/petrola-id02061,02061
Albacete,Povedilla,,405,"4942,7325","(38.70163971,-2.60393627)",872,https://www.aemet.es/es/eltiempo/prediccion/municipios/povedilla-id02062,02062
Albacete,Pozohondo,,1593,"13648,62","(38.721122,-1.91133356)",871,https://www.aemet.es/es/eltiempo/prediccion/municipios/pozohondo-id02063,02063
Albacete,Pozo-Lorente,,408,"8095,5291","(39.07663024,-1.50647855)",769,https://www.aemet.es/es/eltiempo/prediccion/municipios/pozo-lorente-id02064,02064
Albacete,Pozuelo,,469,"13397,79","(38.80969625,-2.10117384)",845,https://www.aemet.es/es/eltiempo/prediccion/municipios/pozuelo-id02065,02065
Albacete,La Recueja,,231,"2973,9107","(39.17688319,-1.48988779)",542,https://www.aemet.es/es/eltiempo/prediccion/municipios/recueja-la-id02066,02066
Albacete,Riópar,,1341,"8092,005","(38.4998099,-2.41839311)",1126,https://www.aemet.es/es/eltiempo/prediccion/municipios/riopar-id02067,02067
Albacete,Robledo,,376,"12008,4392","(38.75778452,-2.44882682)",1041,https://www.aemet.es/es/eltiempo/prediccion/municipios/robledo-id02068,02068
Albacete,La Roda,,15527,"39889,13","(39.20706504,-2.15924796)",708,https://www.aemet.es/es/eltiempo/prediccion/municipios/roda-la-id02069,02069
Albacete,Salobre,,470,"4952,8648","(38.59195258,-2.55057256)",920,https://www.aemet.es/es/eltiempo/prediccion/municipios/salobre-id02070,02070
Albacete,San Pedro,,1171,"8311,597","(38.82654004,-2.186211)",844,https://www.aemet.es/es/eltiempo/prediccion/municipios/san-pedro-id02071,02071
Albacete,Socovos,,1778,"13903,76","(38.33202632,-1.98469065)",734,https://www.aemet.es/es/eltiempo/prediccion/municipios/socovos-id02072,02072
Albacete,Tarazona de la Mancha,,6187,"21268,09","(39.26539647,-1.91280979)",713,https://www.aemet.es/es/eltiempo/prediccion/municipios/tarazona-de-la-mancha-id02073,02073
Albacete,Tobarra,,7709,"32464,95","(38.5922733,-1.69282296)",652,https://www.aemet.es/es/eltiempo/prediccion/municipios/tobarra-id02074,02074
Albacete,Valdeganga,,1990,"7065,62","(39.13545152,-1.67646922)",667,https://www.aemet.es/es/eltiempo/prediccion/municipios/valdeganga-id02075,02075
Albacete,Vianos,,329,"12803,519","(38.632307,-2.50149079)",1118,https://www.aemet.es/es/eltiempo/prediccion/municipios/vianos-id02076,02076
Albacete,Villa de Ves,,61,"5753,568","(39.22231541,-1.25897631)",744,https://www.aemet.es/es/eltiempo/prediccion/municipios/villa-de-ves-id02077,02077
Albacete,Villalgordo del Júcar,,1102,"4668,4938","(39.29598679,-2.06309183)",683,https://www.aemet.es/es/eltiempo/prediccion/municipios/villalgordo-del-jucar-id02078,02078
Albacete,Villamalea,,4070,"12832,89","(39.36160785,-1.59908353)",739,https://www.aemet.es/es/eltiempo/prediccion/municipios/villamalea-id02079,02079
Albacete,Villapalacios,,583,"8747,7445","(38.57467359,-2.63505947)",837,https://www.aemet.es/es/eltiempo/prediccion/municipios/villapalacios-id02080,02080
Albacete,Villarrobledo,,25116,"86240,7816","(39.26755792,-2.60714311)",728,https://www.aemet.es/es/eltiempo/prediccion/municipios/villarrobledo-id02081,02081
Albacete,Villatoya,,109,"1867,36","(39.33385264,-1.33858599)",409,https://www.aemet.es/es/eltiempo/prediccion/municipios/villatoya-id02082,02082
Albacete,Villavaliente,,220,"3484,1712","(39.12645758,-1.45799642)",726,https://www.aemet.es/es/eltiempo/prediccion/municipios/villavaliente-id02083,02083
Albacete,Villaverde de Guadalimar,,325,"6907,9679","(38.456169,-2.518480636)",799,https://www.aemet.es/es/eltiempo/prediccion/municipios/villaverde-de-guadalimar-id02084,02084
Albacete,Viveros,,329,"6536,6666","(38.77363475,-2.57590915)",1012,https://www.aemet.es/es/eltiempo/prediccion/municipios/viveros-id02085,02085
Albacete,Yeste,,2614,"51122,0829","(38.36643865,-2.31903072)",878,https://www.aemet.es/es/eltiempo/prediccion/municipios/yeste-id02086,02086
Albacete,Pozo Cañada,,2791,"11683,38","(38.801361,-1.73622317)",830,https://www.aemet.es/es/eltiempo/prediccion/municipios/pozo-canada-id02901,02901
Alicante,l'Atzúbia,,611,"1466,9574","(38.84743029,-0.15173035)",99,https://www.aemet.es/es/eltiempo/prediccion/municipios/atzubia-l-id03001,03001
Alicante,Agost,,4794,"6663,5352","(38.43949316,-0.63891979)",331,https://www.aemet.es/es/eltiempo/prediccion/municipios/agost-id03002,03002
Alicante,Agres,,564,"2583,659","(38.78000404,-0.51595543)",719,https://www.aemet.es/es/eltiempo/prediccion/municipios/agres-id03003,03003
Alicante,Aigües,,986,"1847,2816","(38.49887092,-0.36258669)",332,https://www.aemet.es/es/eltiempo/prediccion/municipios/aigues-id03004,03004
Alicante,Albatera,,12474,"6154,27","(38.17894636,-0.86792141)",15,https://www.aemet.es/es/eltiempo/prediccion/municipios/albatera-id03005,03005
Alicante,Alcalalí,,1302,"1439,7787","(38.74965349,-0.04160798)",226,https://www.aemet.es/es/eltiempo/prediccion/municipios/alcalali-id03006,03006
Alicante,Alcocer de Planes,,226,"438,7155","(38.79447224,-0.40197036)",345,https://www.aemet.es/es/eltiempo/prediccion/municipios/alcocer-de-planes-id03007,03007
Alicante,Alcoleja,,177,"1455,8836","(38.67548564,-0.33100925)",735,https://www.aemet.es/es/eltiempo/prediccion/municipios/alcoleja-id03008,03008
Alicante,Alcoy,Alcoi,59354,"12986,0503","(38.69836894,-0.47318376)",561,https://www.aemet.es/es/eltiempo/prediccion/municipios/alcoy-alcoi-id03009,03009
Alicante,Alfafara,,406,"1977,7677","(38.77274828,-0.55552339)",580,https://www.aemet.es/es/eltiempo/prediccion/municipios/alfafara-id03010,03010
Alicante,l'Alfàs del Pi,,20042,"1925,9507","(38.58009496,-0.1026002)",89,https://www.aemet.es/es/eltiempo/prediccion/municipios/alfas-del-pi-l-id03011,03011
Alicante,Algorfa,,3125,"1847,09","(38.08681637,-0.79568423)",23,https://www.aemet.es/es/eltiempo/prediccion/municipios/algorfa-id03012,03012
Alicante,Algueña,,1326,"1847,39","(38.33800138,-1.00303745)",530,https://www.aemet.es/es/eltiempo/prediccion/municipios/alguena-id03013,03013
Alicante,Alicante,Alacant,337482,"20126,5845","(38.34548705,-0.4831832)",5,https://www.aemet.es/es/eltiempo/prediccion/municipios/alacant-alicante-id03014,03014
Alicante,Almoradí,,21208,"4269,4","(38.10977991,-0.79201713)",10,https://www.aemet.es/es/eltiempo/prediccion/municipios/almoradi-id03015,03015
Alicante,Almudaina,,109,"882,0194","(38.76155764,-0.35370678)",570,https://www.aemet.es/es/eltiempo/prediccion/municipios/almudaina-id03016,03016
Alicante,l'Alqueria d'Asnar,,493,"108,3702","(38.77311802,-0.42552267)",363,https://www.aemet.es/es/eltiempo/prediccion/municipios/alqueria-d-asnar-l-id03017,03017
Alicante,Altea,,22558,"3442,7986","(38.59892497,-0.05144236)",60,https://www.aemet.es/es/eltiempo/prediccion/municipios/altea-id03018,03018
Alicante,Aspe,,20804,"7057,09","(38.34577266,-0.76849107)",234,https://www.aemet.es/es/eltiempo/prediccion/municipios/aspe-id03019,03019
Alicante,Balones,,128,1125,"(38.73701039,-0.34237388)",670,https://www.aemet.es/es/eltiempo/prediccion/municipios/balones-id03020,03020
Alicante,Banyeres de Mariola,,7090,"5027,5886","(38.71635902,-0.65685684)",812,https://www.aemet.es/es/eltiempo/prediccion/municipios/banyeres-de-mariola-id03021,03021
Alicante,Benasau,,156,"904,039","(38.68991329,-0.34261264)",705,https://www.aemet.es/es/eltiempo/prediccion/municipios/benasau-id03022,03022
Alicante,Beneixama,,1690,"3488,8204","(38.70018533,-0.76676743)",592,https://www.aemet.es/es/eltiempo/prediccion/municipios/beneixama-id03023,03023
Alicante,Benejúzar,,5435,"932,7958","(38.07806375,-0.83819517)",23,https://www.aemet.es/es/eltiempo/prediccion/municipios/benejuzar-id03024,03024
Alicante,Benferri,,1965,"1236,89","(38.14179352,-0.9622579)",56,https://www.aemet.es/es/eltiempo/prediccion/municipios/benferri-id03025,03025
Alicante,Beniarbeig,,2159,"740,3238","(38.82193219,-0.00130364)",42,https://www.aemet.es/es/eltiempo/prediccion/municipios/beniarbeig-id03026,03026
Alicante,Beniardá,,200,"1573,9453","(38.68343356,-0.21600764)",464,https://www.aemet.es/es/eltiempo/prediccion/municipios/beniarda-id03027,03027
Alicante,Beniarrés,,1099,"2021,3756","(38.82007885,-0.37904234)",385,https://www.aemet.es/es/eltiempo/prediccion/municipios/beniarres-id03028,03028
Alicante,Benigembla,,443,"1845,4265","(38.75633514,-0.10982699)",311,https://www.aemet.es/es/eltiempo/prediccion/municipios/benigembla-id03029,03029
Alicante,Benidoleig,,1078,"748,4278","(38.791917,-0.03173239)",124,https://www.aemet.es/es/eltiempo/prediccion/municipios/benidoleig-id03030,03030
Alicante,Benidorm,,70450,"3850,9874","(38.53427136,-0.1306853)",11,https://www.aemet.es/es/eltiempo/prediccion/municipios/benidorm-id03031,03031
Alicante,Benifallim,,104,"1368,8379","(38.66273419,-0.39922559)",738,https://www.aemet.es/es/eltiempo/prediccion/municipios/benifallim-id03032,03032
Alicante,Benifato,,136,"1188,0505","(38.67369418,-0.22888967)",663,https://www.aemet.es/es/eltiempo/prediccion/municipios/benifato-id03033,03033
Alicante,Benijófar,,3293,"435,9954","(38.0808408,-0.73828051)",22,https://www.aemet.es/es/eltiempo/prediccion/municipios/benijofar-id03034,03034
Alicante,Benilloba,,726,"953,8103","(38.69955909,-0.3908201)",521,https://www.aemet.es/es/eltiempo/prediccion/municipios/benilloba-id03035,03035
